description,,,,,,,,,,,,,,,,,,,,
field,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,,,,,,,,,,
Field001,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,,,,,,,,,,
wct,0.96,0.92,0.41,0.91,0.38,0.62,0.39,0.81,0.93,0.33,,,,,,,,,,
index,q_inj_w1,fluid_w1,q_inj_w2,fluid_w2,q_inj_w3,fluid_w3,q_inj_w4,fluid_w4,q_inj_w5,fluid_w5,q_inj_w6,fluid_w6,q_inj_w7,fluid_w7,q_inj_w8,fluid_w8,q_inj_w9,fluid_w9,q_inj_w10,fluid_w10
1.0,376.0,1018.0,100.0,1760.0,200.0,18.0,140.0,1112.0,200.0,400.0,50.0,526.0,138.0,375.0,300.0,473.0,311.0,800.0,380.0,426.0
2.0,472.0,1805.0,300.0,2226.0,300.0,61.0,200.0,2133.0,370.0,816.0,100.0,942.0,236.0,761.0,400.0,831.0,470.0,2540.0,483.0,990.0
3.0,605.0,2654.0,500.0,2590.0,450.0,99.0,430.0,4189.0,555.0,1100.0,240.0,1325.0,345.0,983.0,500.0,1117.0,645.0,3920.0,638.0,1487.0
4.0,760.0,3379.0,800.0,3010.0,600.0,118.0,580.0,4832.0,800.0,1314.0,400.0,1476.0,480.0,1121.0,600.0,1352.0,770.0,4666.0,800.0,1697.0
5.0,996.0,4110.0,1018.0,3277.0,760.0,125.0,727.0,5156.0,932.0,1382.0,580.0,1520.0,580.0,1170.0,800.0,1712.0,900.0,5290.0,974.0,1667.0
6.0,1250.0,4526.0,1250.0,3525.0,1000.0,116.0,892.0,5263.0,1136.0,1435.0,800.0,1492.0,700.0,1190.0,1000.0,1972.0,1000.0,5715.0,1071.0,1561.0
7.0,1520.0,4665.0,1400.0,3678.0,1250.0,88.0,1160.0,5127.0,1532.0,1406.0,1260.0,1300.0,800.0,1180.0,1300.0,2207.0,1200.0,6282.0,1200.0,1330.0
