description,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
field,w1,w2,w3,w4,w5,w6,,,,,,
Field001,w1,w2,w3,w4,w5,w6,,,,,,
index,q_inj_w1,fluid_w1,q_inj_w2,fluid_w2,q_inj_w3,fluid_w3,q_inj_w4,fluid_w4,q_inj_w5,fluid_w5,q_inj_w6,fluid_w6
1.0,150.0,1435.3,150.0,911.305,150.0,544.952,150.0,878.613,150.0,1166.39,150.0,1008.08
2.0,300.0,1675.09,300.0,1163.2,300.0,1214.64,300.0,938.473,300.0,1292.9,300.0,1244.53
3.0,450.0,1786.34,450.0,1268.03,450.0,1532.31,450.0,974.767,450.0,1338.47,450.0,1345.33
4.0,600.0,1843.56,600.0,1319.84,600.0,1722.52,600.0,999.498,600.0,1350.95,600.0,1384.91
5.0,750.0,1883.81,750.0,1350.92,750.0,1858.84,750.0,1016.97,750.0,1347.13,750.0,1408.06
6.0,900.0,1914.35,900.0,1370.26,900.0,1943.61,900.0,1029.53,900.0,1343.34,900.0,1425.42
7.0,1050.0,1938.01,1050.0,1381.68,1050.0,1994.76,1050.0,1038.78,1050.0,1336.97,1050.0,1438.66
8.0,1200.0,1956.57,1200.0,1388.21,1200.0,2026.43,1200.0,1045.52,1200.0,1332.65,1200.0,1448.72
9.0,1350.0,1971.2,1350.0,1391.41,1350.0,2041.52,1350.0,1050.26,1350.0,1327.99,1350.0,1456.31
10.0,1500.0,1982.21,1500.0,1392.34,1500.0,2048.18,1500.0,1053.36,1500.0,1326.98,1500.0,1461.45
11.0,1650.0,1990.73,1650.0,1391.44,1650.0,2044.56,1650.0,1055.06,1650.0,1328.14,1650.0,1465.03
12.0,1800.0,1997.17,1800.0,1387.89,1800.0,2036.94,1800.0,1055.59,1800.0,1326.74,1800.0,1467.21
13.0,1950.0,2001.84,1950.0,1377.39,1950.0,2022.57,1950.0,1055.07,1950.0,1321.39,1950.0,1459.28
14.0,2100.0,2005.02,2100.0,1367.48,2100.0,2003.82,2100.0,1053.71,2100.0,1314.57,2100.0,1439.58
15.0,2250.0,2006.89,2250.0,1361.24,2250.0,1985.02,2250.0,1051.61,2250.0,1303.59,2250.0,1437.18
16.0,2400.0,2007.62,2400.0,1345.58,2400.0,1961.08,2400.0,1048.86,2400.0,1293.68,2400.0,1434.2
17.0,2550.0,2007.32,2550.0,1337.02,2550.0,1937.76,2550.0,1045.58,2550.0,1281.89,2550.0,1430.64
18.0,2700.0,2006.12,2700.0,1327.74,2700.0,1909.88,2700.0,1041.88,2700.0,1265.92,2700.0,1426.8
19.0,2850.0,2004.1,2850.0,1316.93,2850.0,1882.08,2850.0,1037.81,2850.0,1252.6,2850.0,1420.31
20.0,3000.0,2001.36,3000.0,1303.22,3000.0,1853.39,3000.0,1033.44,3000.0,1241.08,3000.0,1408.95
