description,,,,,,,,,,,,
field,well_1,well_2,well_3,well_4,well_5,well_6,,,,,,
A,A1,A2,A3,A4,A5,A6,,,,,,
index,q_inj_w1,q_inj_w2,q_inj_w3,q_inj_w4,q_inj_w5,q_inj_w6,fluid_w1,fluid_w2,fluid_w3,fluid_w4,fluid_w5,fluid_w6
1,912,2027,1509,1260,1443,1443,2669,1041,4569,2380,2055,2055
2,909,2031,1503,1263,1442,1442,1617,1028,4248,2393,2117,2117
3,908,2025,1509,1229,1422,1422,1597,1060,4661,2571,2101,2101
4,911,2032,1509,1250,1524,1524,1637,1052,4494,2560,2450,2450
5,911,2032,1509,1231,1488,1488,1622,1028,4543,2584,2080,2080
6,913,2054,1500,1252,1450,1450,1684,868,4500,2528,1938,1938
7,869,2019,1504,1247,1468,1468,1867,1032,4317,2597,2281,2281
8,913,2043,1504,1353,1490,1490,1861,990,4506,2473,2357,2357
9,871,2021,1511,1271,1523,1523,1880,1062,4365,2358,2284,2284
10,971,2063,1469,1250,1509,1509,2430,1260,4072,2548,2108,2108
11,813,2063,1278,1252,1470,1470,2106,1133,5320,2523,2030,2030
12,813,2040,1500,1248,1453,1453,2099,1182,4501,2521,2077,2077
13,1250,2039,1510,1248,1442,1442,2523,1218,4508,2468,2002,2002
14,1250,2045,1302,1186,1441,1441,2400,1058,4621,2528,2024,2024
15,1500,2045,791,1250,1433,1433,2535,1030,3984,2392,2006,2006
16,918,2034,520,1250,1431,1431,1478,1075,4065,2512,2023,2023
17,1250,2034,541,1114,1458,1458,1732,1173,4040,2420,1987,1987
18,1250,2042,768,1310,1492,1492,1838,1110,3999,2441,2064,2064
19,1200,2040,833,1275,1476,1476,1887,1102,3943,2467,2067,2067
20,1248,2021,1500,1254,1476,1476,1672,951,4192,2494,2028,2028
21,1248,2001,1498,1114,1486,1486,1848,770,4644,2473,2017,2017
22,920,2001,1483,1101,1486,1486,1917,812,4640,2498,2066,2066
23,875,2001,1501,1183,1486,1486,1771,786,4587,2476,1995,1995
24,836,2021,1496,1189,1451,1451,1155,937,4750,2616,1964,1964
25,417,2021,1498,1231,1452,1452,1116,910,4016,2512,2096,2096
26,920,2048,1504,1231,1517,1517,1922,1108,4957,2526,2416,2416
27,917,2020,1543,2021,1444,1444,2025,1142,3878,932,2053,2053
28,919,2019,1302,1250,1452,1452,1929,1137,5204,2579,2118,2118
29,910,2041,1521,1250,1522,1522,1728,1056,4487,2524,2142,2142
30,,,,,,,,,,,,
